"","speaker","plays","count_speaker","count_plays"
"104","de tvende m�nd","Mester Gert Westphaler eller Den meget talende barber Komedie",2,1
"105","den anden k�bmand","Den 11. juni",2,1
"106","den anden propriet�r","Den 11. juni",2,1
"107","den bev�bnede","Melampe Tragikomedie",9,1
"108","den drukne","Det lykkelige skibbrud Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",38,2
"109","den f�rste propriet�r","Den 11. juni",1,1
"110","den fremmede","Den 11. juni, Mester Gert Westphaler eller Den meget talende barber Komedie",12,2
"111","den fremmede person","Hekseri eller blind alarm Komedie i 5 akter",2,1
"112","den usynlige","De usynlige Komedie i 3 akter",79,1
"113","den usynliges broder","De usynlige Komedie i 3 akter",32,1
"114","dido","Ulysses von Ithacia eller En tysk komedie",24,1
"115","diogenes","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",87,1
"116","dobre podolsky","Den honnette ambition Komedie i 3 akter",26,1
"117","doktor","Jeppe på Bjerget eller Den forvandlede bonde",5,1
"118","doktor bombastus","Barselsstuen Komedie, Kilderejsen Komedie i 3 akter, Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",68,3
"119","dommeren","Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde",167,3
"120","don ranudo","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",166,1
"121","donna maria","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",9,1
"122","donna olympia","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",79,1
"123","dorothea","Melampe Tragikomedie",85,1
"124","dorthe","Barselsstuen Komedie",14,1
"125","drengen","Den 11. juni, Den pantsatte bondedreng Komedie i 3 akter, Den politiske kandestøber Komedie, Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter, Jean de France eller Hans Frandsen Komedie, Maskerade Komedie",62,8
"126","eleonora","Uden hoved og hale Komedie",22,1
"127","elisa","Ulysses von Ithacia eller En tysk komedie",18,1
"128","ellen","Barselsstuen Komedie",1,1
"129","else","Barselsstuen Komedie, Julestue Komedie",17,2
"130","elsebet","Den forvandlede brudgom Komedie i 1 akt uden aktører, Jean de France eller Hans Frandsen Komedie",35,2
"131","elvire","Diderich Menschenskræk Komedie i 1 akt",45,1
"132","en af de fremmede","Det arabiske pulver Komedie",1,1
"133","en anden borger","Den politiske kandestøber Komedie",1,1
"134","en anden dreng","Den politiske kandestøber Komedie, Hekseri eller blind alarm Komedie i 5 akter",3,2
"135","en anden v�rt","Den pantsatte bondedreng Komedie i 3 akter",2,1
"136","en borger","Den politiske kandestøber Komedie",1,1
"137","en g�rdskarl","Hekseri eller blind alarm Komedie i 5 akter",6,1
"138","en karl","Maskerade Komedie",2,1
"139","en kavaler","Melampe Tragikomedie",2,1
"140","en officer med knebelsbarter","Barselsstuen Komedie",2,1
"141","en person","Hekseri eller blind alarm Komedie i 5 akter",2,1
"142","en pige","Barselsstuen Komedie, Den politiske kandestøber Komedie, Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Melampe Tragikomedie, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",66,6
"143","en ridder","Ulysses von Ithacia eller En tysk komedie",1,1
"144","en skr�dder","Den stundesløse Komedie i 3 akter",1,1
"145","engelke","Den politiske kandestøber Komedie",5,1
"146","ephraim","Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",25,1
"147","eraste","Den vægelsindede Komedie i 3 akter",61,1
"148","erastealene)","Den vægelsindede Komedie i 3 akter",3,1
"149","erich madsen","Den stundesløse Komedie i 3 akter",42,1
"150","erik lakaj","Jeppe på Bjerget eller Den forvandlede bonde",7,1
"151","espen","Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter, Jean de France eller Hans Frandsen Komedie",105,3
"152","et sp�gelse","Melampe Tragikomedie",3,1
"153","euclio","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",5,1
"154","f�rste k�bmand","Den 11. juni",5,1
"155","f�rste propriet�r","Den 11. juni",4,1
"156","f�rste r�dsherre","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",28,1
"157","faderen","Den pantsatte bondedreng Komedie i 3 akter",9,1
"158","filosoffen","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",42,1
"159","fiskeren","Melampe Tragikomedie",20,1
"160","flensborgeren","Mester Gert Westphaler eller Den meget talende barber Komedie",20,1
"161","frands","Jean de France eller Hans Frandsen Komedie",97,1
"162","frantz knivsmed","Den politiske kandestøber Komedie",11,1
"163","frantz parykmager","Den politiske kandestøber Komedie",2,1
"164","fremmede","Den 11. juni",12,1
"165","fruen","Barselsstuen Komedie, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Hekseri eller blind alarm Komedie i 5 akter",43,5
"166","gejsten","Melampe Tragikomedie, Uden hoved og hale Komedie",4,2
"167","gert buntmager","Den politiske kandestøber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",252,3
"168","geske","Barselsstuen Komedie, Den politiske kandestøber Komedie",89,2
"169","gilbert","Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",43,2
"170","gonzalo","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",22,1
"171","gothard","Barselsstuen Komedie",18,1
"172","gottard","Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter",20,2
"173","gottfried","Det lykkelige skibbrud Komedie i 5 akter",79,1
"174","greven","Den pantsatte bondedreng Komedie i 3 akter",1,1
"175","gunild","Barselsstuen Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",79,3
"176","gunnild","Uden hoved og hale Komedie",19,1
"177","gusman","Melampe Tragikomedie",13,1
"178","gusmann","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",38,1
"179","haagen","Uden hoved og hale Komedie",67,1
"180","hadersleveren","Mester Gert Westphaler eller Den meget talende barber Komedie",10,1
"181","hammer","Den danske komedies ligbegængelse Med Thaliæ afskedstale, forestillet til allersidste slutning af de danske aktører den 25. februar 1727",8,1
"182","harlekin","De usynlige Komedie i 3 akter",200,1
"183","helene","Den vægelsindede Komedie i 3 akter, Ulysses von Ithacia eller En tysk komedie",57,2
"184","henning","Julestue Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",9,2
"185","henrik","Den 11. juni, Den danske komedies ligbegængelse Med Thaliæ afskedstale, forestillet til allersidste slutning af de danske aktører den 25. februar 1727, Den honnette ambition Komedie i 3 akter, Den politiske kandestøber Komedie, Den vægelsindede Komedie i 3 akter, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Hekseri eller blind alarm Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter, Republikken eller Det gemene bedste Komedie i 3 akter, Uden hoved og hale Komedie",2068,17
"186","herman von bremenfeld","Den politiske kandestøber Komedie, Hekseri eller blind alarm Komedie i 5 akter, Republikken eller Det gemene bedste Komedie i 3 akter",202,3
"187","herren","Hekseri eller blind alarm Komedie i 5 akter",46,1
"188","holophernes","Ulysses von Ithacia eller En tysk komedie",6,1
"189","hyacinthe","Diderich Menschenskræk Komedie i 1 akt",11,1
"190","indenfor [studerende]","Den 11. juni",7,1
"191","ingeborg","Barselsstuen Komedie",8,1
"192","iris","Ulysses von Ithacia eller En tysk komedie",7,1
"193","isabella","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",65,1
"194","iversen","Den vægelsindede Komedie",21,1
"195","j�den","Den 11. juni, Det arabiske pulver Komedie, Diderich Menschenskræk Komedie i 1 akt",98,3
"196","j�rgen","Mester Gert Westphaler eller Den meget talende barber Komedie",14,1
"197","j�rgen handskemager","Mester Gert Westphaler eller Den meget talende barber Komedie",3,1
"198","jacob","Den 11. juni, Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde",165,3
"199","jean","Hekseri eller blind alarm Komedie i 5 akter, Jean de France eller Hans Frandsen Komedie",171,2
"200","jens","Den stundesløse Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie",80,2
"201","jens griffel","Den stundesløse Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie",81,2
"202","jeppe","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde",259,2
"203","jeronimus","Barselsstuen Komedie, Den honnette ambition Komedie i 3 akter, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Jean de France eller Hans Frandsen Komedie, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Pernilles korte frøkenstand Komedie i 3 akter, Philosophus i egen indbildning Komedie i 5 akter",1399,13
"204","jesper oldfux","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Jacob von Tyboe eller Den stortalende soldat Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",297,5
"205","jochum","Den politiske kandestøber Komedie",1,1
"206","jomfruen","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",11,1
"207","juno","Ulysses von Ithacia eller En tysk komedie",8,1
"208","jupiter","Uden hoved og hale Komedie",6,1
"209","juveleren","Den pantsatte bondedreng Komedie i 3 akter",27,1
